Наименование_вакансии;Ссылка_на_вакансию;Опыт_работы;Ключевые_навыки;Зарплата
Data Scientist ООО ХАЙТЕКИНЖИНИРИНГ;https://hh.ru/vacancy/48101680?query=data%20scientist;1–3 года;['Python', 'PyTorch', 'Keras', 'Tensorflow', 'Git', 'Deep Learning', 'Computer Vision', 'Linux', 'Анализ данных', 'SciPy', 'Нейронные сети', 'Docker', 'Machine Learning', 'ML', 'Машинное обучение', 'Алгоритмы и структуры данных'];от 200000 руб. до вычета налогов
Data Scientist (команда Поиска) HeadHunter::Analytics/Data Science;https://hh.ru/vacancy/46048820?query=data%20scientist;3–6 лет;['Python', 'PyTorch', 'SQL', 'Machine Learning', 'Анализ данных', 'data science', 'numpy', 'scipy', 'pandas', 'lightgbm', 'pytorch', 'scikit-learn', 'neural nets', 'nlp', 'search ranking', 'recommender systems', 'a/b-experiments', 'hadoop', 'hive', 'presto', 'Mathematics'];з/п не указана
Data Scientist (antifraud) Авито;https://hh.ru/vacancy/48120590?query=data%20scientist;3–6 лет;['Python', 'Data Science', 'Машинное обучение'];з/п не указана
Data Scientist COMTEK Inc.;https://hh.ru/vacancy/47888798?query=data%20scientist;3–6 лет;['Английский\xa0— B2 — Средне-продвинутый', 'Python', 'SQL', 'Power BI', 'Английский язык', 'Умение принимать решения'];от 3000 до 5000 USD до вычета налогов
Data Scientist (middle or senior) ООО РАБЛЗ;https://hh.ru/vacancy/42956307?query=data%20scientist;3–6 лет;['Python', 'Data Mining', 'SQL', 'Математическое моделирование', 'Spark', 'Pandas', 'Hive'];до 500000 руб. до вычета налогов
Системный аналитик\ data scientist HFLabs;https://hh.ru/vacancy/47688264?query=data%20scientist;1–3 года;['Бизнес-анализ', 'SQL', 'Системный анализ', 'Аналитическое мышление', 'Системное мышление'];от 190000 до 250000 руб. на руки
Junior Data Scientist ООО Автоматизация и Консалтинг;https://hh.ru/vacancy/48089987?query=data%20scientist;1–3 года;['Python', 'Git'];з/п не указана
Data Scientist SharesPro;https://hh.ru/vacancy/48118086?query=data%20scientist;1–3 года;['Python', 'Математическая статистика', 'Spark', 'Финансовый анализ', 'SQL', 'Инвестиции', 'Машинное обучение', 'Анализ данных'];от 100000 руб. на руки
Data Scientist Точка;https://hh.ru/vacancy/45191074?query=data%20scientist;3–6 лет;['аналитика', 'SQL', 'Python', 'Информационные технологии', 'Работа с базами данных', 'Математический анализ', 'NumPy', 'Математическая статистика', 'XGBoost'];до 300000 руб. на руки
Senior Data Scientist в команду генетики Институт Искусственного Интеллекта;https://hh.ru/vacancy/47866453?query=data%20scientist;3–6 лет;[];до 450000 руб. до вычета налогов
